,GARDA DIVISION,OFFENCE,TYPE OF OFFENCE,Total_2016,Total_2017,Total_2018
1276,D.M.R. SOUTH CENTRAL,Murder,HOMICIDE OFFENCES,3,0,1
1277,D.M.R. SOUTH CENTRAL,Manslaughter,HOMICIDE OFFENCES,0,0,0
1278,D.M.R. SOUTH CENTRAL,Infanticide,HOMICIDE OFFENCES,0,0,0
1279,D.M.R. SOUTH CENTRAL,Dangerous driving leading to death,HOMICIDE OFFENCES,0,1,1
1280,D.M.R. SOUTH CENTRAL,Rape and sexual assault,SEXUAL OFFENCES,114,130,135
1281,D.M.R. SOUTH CENTRAL,Other sexual offences,SEXUAL OFFENCES,9,8,16
1282,D.M.R. SOUTH CENTRAL,Murder-attempt,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,1,0,1
1283,D.M.R. SOUTH CENTRAL,Murder-threat,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,37,43,53
1284,D.M.R. SOUTH CENTRAL,Harassment and related offences,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,41,63,88
1285,D.M.R. SOUTH CENTRAL,Assault causing harm/ poisoning,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,311,325,335
1286,D.M.R. SOUTH CENTRAL,Other assault,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,737,846,815
1287,D.M.R. SOUTH CENTRAL,Dangerous driving causing serious bodily harm,DANGEROUS OR NEGLIGENT ACTS,0,0,0
1288,D.M.R. SOUTH CENTRAL,Driving/in charge of a vehicle while over legal alcohol limit,DANGEROUS OR NEGLIGENT ACTS,142,151,165
1289,D.M.R. SOUTH CENTRAL,Driving/in charge of a vehicle under the influence of drugs,DANGEROUS OR NEGLIGENT ACTS,8,9,7
1290,D.M.R. SOUTH CENTRAL,Endangerment with potential for serious harm/death,DANGEROUS OR NEGLIGENT ACTS,3,1,15
1291,D.M.R. SOUTH CENTRAL,Abandoning a child/ child neglect and cruelty,DANGEROUS OR NEGLIGENT ACTS,9,19,17
1292,D.M.R. SOUTH CENTRAL,Unseaworthy/dangerous use of boat or ship,DANGEROUS OR NEGLIGENT ACTS,0,1,0
1293,D.M.R. SOUTH CENTRAL,False alarm/interference with aircraft or air transport facilities,DANGEROUS OR NEGLIGENT ACTS,0,0,0
1294,D.M.R. SOUTH CENTRAL,Endangering traffic offences,DANGEROUS OR NEGLIGENT ACTS,7,7,9
1295,D.M.R. SOUTH CENTRAL,False imprisonment,KIDNAPPING AND RELATED OFFENCES,1,7,4
1296,D.M.R. SOUTH CENTRAL,Abduction of person under 16 years of age,KIDNAPPING AND RELATED OFFENCES,1,1,0
1297,D.M.R. SOUTH CENTRAL,Human trafficking offences,KIDNAPPING AND RELATED OFFENCES,1,2,0
1298,D.M.R. SOUTH CENTRAL,Robbery of an establishment or institution,ROBBERY/EXTORTION AND HIJACKING OFFENCES,70,88,99
1299,D.M.R. SOUTH CENTRAL,Robbery of cash or goods in transit,ROBBERY/EXTORTION AND HIJACKING OFFENCES,1,0,2
1300,D.M.R. SOUTH CENTRAL,Robbery from the person,ROBBERY/EXTORTION AND HIJACKING OFFENCES,208,214,287
1301,D.M.R. SOUTH CENTRAL,Blackmail or extortion,ROBBERY/EXTORTION AND HIJACKING OFFENCES,2,2,6
1302,D.M.R. SOUTH CENTRAL,Carjacking/ hijacking/unlawful seizure of aircraft/vessel,ROBBERY/EXTORTION AND HIJACKING OFFENCES,3,4,17
1303,D.M.R. SOUTH CENTRAL,Aggravated burglary,BURGLARY AND RELATED OFFENCES,13,11,11
1304,D.M.R. SOUTH CENTRAL,Burglary (not aggravated),BURGLARY AND RELATED OFFENCES,1096,1113,1055
1305,D.M.R. SOUTH CENTRAL,Possession of an article (with intent to burgle/ steal/ demand),BURGLARY AND RELATED OFFENCES,89,79,48
1306,D.M.R. SOUTH CENTRAL,Theft/taking of vehicle and related offences,THEFT AND RELATED OFFENCES,254,253,220
1307,D.M.R. SOUTH CENTRAL,Theft from person,THEFT AND RELATED OFFENCES,1912,2104,1995
1308,D.M.R. SOUTH CENTRAL,Theft from shop,THEFT AND RELATED OFFENCES,1415,1721,1585
1309,D.M.R. SOUTH CENTRAL,Other thefts/ handling stolen property,THEFT AND RELATED OFFENCES,4255,4577,4275
1310,D.M.R. SOUTH CENTRAL,Fraud/ deception and related offences,FRAUD/DECEPTION AND RELATED OFFENCES,525,650,577
1311,D.M.R. SOUTH CENTRAL,Importation of drugs,CONTROLLED DRUG OFFENCES,0,0,0
1312,D.M.R. SOUTH CENTRAL,Cultivation or manufacture of drugs,CONTROLLED DRUG OFFENCES,3,3,2
1313,D.M.R. SOUTH CENTRAL,Possession of drugs for sale or supply,CONTROLLED DRUG OFFENCES,371,470,537
1314,D.M.R. SOUTH CENTRAL,Possession of drugs for personal use,CONTROLLED DRUG OFFENCES,452,666,643
1315,D.M.R. SOUTH CENTRAL,Other drug offences,CONTROLLED DRUG OFFENCES,57,45,66
1316,D.M.R. SOUTH CENTRAL,Explosives/ chemical weapons offences,WEAPONS AND EXPLOSIVES OFFENCES,0,1,0
1317,D.M.R. SOUTH CENTRAL,Discharging a firearm,WEAPONS AND EXPLOSIVES OFFENCES,1,2,4
1318,D.M.R. SOUTH CENTRAL,Possession of a firearm,WEAPONS AND EXPLOSIVES OFFENCES,12,11,11
1319,D.M.R. SOUTH CENTRAL,Offensive weapons offences (n.e.c.),WEAPONS AND EXPLOSIVES OFFENCES,195,221,218
1320,D.M.R. SOUTH CENTRAL,Fireworks offences,WEAPONS AND EXPLOSIVES OFFENCES,1,5,4
1321,D.M.R. SOUTH CENTRAL,Arson,DAMAGE TO PROPERTY AND ENVIRONMENT,67,64,63
1322,D.M.R. SOUTH CENTRAL,Criminal damage (not arson),DAMAGE TO PROPERTY AND ENVIRONMENT,1195,1326,1172
1323,D.M.R. SOUTH CENTRAL,Litter offences,DAMAGE TO PROPERTY AND ENVIRONMENT,0,0,2
1324,D.M.R. SOUTH CENTRAL,Disorderly conduct,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,2164,2605,2762
1325,D.M.R. SOUTH CENTRAL,Trespass offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,192,222,170
1326,D.M.R. SOUTH CENTRAL,Liquor licensing offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,46,25,27
1327,D.M.R. SOUTH CENTRAL,Prostitution offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,2,1,2
1328,D.M.R. SOUTH CENTRAL,Regulated betting/money/ collection/trading offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,27,48,24
1329,D.M.R. SOUTH CENTRAL,Social code offences (n.e.c.),PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,321,795,582
1330,D.M.R. SOUTH CENTRAL,Offences against government and its agents,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,28,12,9
1331,D.M.R. SOUTH CENTRAL,Organisation of crime and conspiracy to commit crime,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,0,2,0
1332,D.M.R. SOUTH CENTRAL,Perverting the course of justice,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,1,1,4
1333,D.M.R. SOUTH CENTRAL,Offences while in custody/ breach of court orders,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,138,180,169
1334,D.M.R. NORTH CENTRAL,Murder,HOMICIDE OFFENCES,4,3,2
1335,D.M.R. NORTH CENTRAL,Manslaughter,HOMICIDE OFFENCES,0,0,0
1336,D.M.R. NORTH CENTRAL,Infanticide,HOMICIDE OFFENCES,0,0,0
1337,D.M.R. NORTH CENTRAL,Dangerous driving leading to death,HOMICIDE OFFENCES,0,2,1
1338,D.M.R. NORTH CENTRAL,Rape and sexual assault,SEXUAL OFFENCES,96,92,120
1339,D.M.R. NORTH CENTRAL,Other sexual offences,SEXUAL OFFENCES,8,11,10
1340,D.M.R. NORTH CENTRAL,Murder-attempt,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,0,2,1
1341,D.M.R. NORTH CENTRAL,Murder-threat,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,40,30,55
1342,D.M.R. NORTH CENTRAL,Harassment and related offences,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,43,59,48
1343,D.M.R. NORTH CENTRAL,Assault causing harm/ poisoning,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,238,271,319
1344,D.M.R. NORTH CENTRAL,Other assault,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,604,647,780
1345,D.M.R. NORTH CENTRAL,Dangerous driving causing serious bodily harm,DANGEROUS OR NEGLIGENT ACTS,0,0,0
1346,D.M.R. NORTH CENTRAL,Driving/in charge of a vehicle while over legal alcohol limit,DANGEROUS OR NEGLIGENT ACTS,196,166,183
1347,D.M.R. NORTH CENTRAL,Driving/in charge of a vehicle under the influence of drugs,DANGEROUS OR NEGLIGENT ACTS,8,12,15
1348,D.M.R. NORTH CENTRAL,Endangerment with potential for serious harm/death,DANGEROUS OR NEGLIGENT ACTS,3,5,13
1349,D.M.R. NORTH CENTRAL,Abandoning a child/ child neglect and cruelty,DANGEROUS OR NEGLIGENT ACTS,9,12,8
1350,D.M.R. NORTH CENTRAL,Unseaworthy/dangerous use of boat or ship,DANGEROUS OR NEGLIGENT ACTS,0,0,1
1351,D.M.R. NORTH CENTRAL,False alarm/interference with aircraft or air transport facilities,DANGEROUS OR NEGLIGENT ACTS,0,0,0
1352,D.M.R. NORTH CENTRAL,Endangering traffic offences,DANGEROUS OR NEGLIGENT ACTS,0,7,14
1353,D.M.R. NORTH CENTRAL,False imprisonment,KIDNAPPING AND RELATED OFFENCES,2,4,6
1354,D.M.R. NORTH CENTRAL,Abduction of person under 16 years of age,KIDNAPPING AND RELATED OFFENCES,0,1,1
1355,D.M.R. NORTH CENTRAL,Human trafficking offences,KIDNAPPING AND RELATED OFFENCES,2,2,2
1356,D.M.R. NORTH CENTRAL,Robbery of an establishment or institution,ROBBERY/EXTORTION AND HIJACKING OFFENCES,33,65,54
1357,D.M.R. NORTH CENTRAL,Robbery of cash or goods in transit,ROBBERY/EXTORTION AND HIJACKING OFFENCES,3,1,4
1358,D.M.R. NORTH CENTRAL,Robbery from the person,ROBBERY/EXTORTION AND HIJACKING OFFENCES,184,165,210
1359,D.M.R. NORTH CENTRAL,Blackmail or extortion,ROBBERY/EXTORTION AND HIJACKING OFFENCES,5,3,7
1360,D.M.R. NORTH CENTRAL,Carjacking/ hijacking/unlawful seizure of aircraft/vessel,ROBBERY/EXTORTION AND HIJACKING OFFENCES,5,5,7
1361,D.M.R. NORTH CENTRAL,Aggravated burglary,BURGLARY AND RELATED OFFENCES,7,12,19
1362,D.M.R. NORTH CENTRAL,Burglary (not aggravated),BURGLARY AND RELATED OFFENCES,789,779,715
